date,open,high,low,close,volume,symbol
2024-01-02,75.5,75.9,71.47,72.22,15249544,sq
2024-01-03,69.0,70.6,68.1402,68.63,15374149,sq
2024-01-04,68.0,69.065,66.86,68.15,10020968,sq
2024-01-05,67.53,68.57,66.595,66.96,11121816,sq
2024-01-08,67.68,69.3398,67.365,69.31,9210757,sq
2024-01-09,68.76,70.64,68.76,69.53,8077134,sq
2024-01-10,69.95,69.95,67.48,67.9,8705667,sq
2024-01-11,68.61,68.8,66.11,67.87,7617722,sq
2024-01-12,68.0,68.67,66.43,66.48,6612370,sq
2024-01-16,65.48,65.98,64.2,65.16,9984057,sq
2024-01-17,63.72,63.965,62.07,63.9,9588261,sq
2024-01-18,64.51,65.23,63.43,64.47,8226598,sq
2024-01-19,64.76,66.06,63.75,65.85,8642493,sq
2024-01-22,67.13,69.36,66.26,66.69,10438374,sq
2024-01-23,67.25,67.69,65.685,66.2,7247496,sq
2024-01-24,67.09,67.25,62.55,62.58,12049186,sq
