date,open,high,low,close,volume
2023-09-25,44.6200,45.7400,44.3300,45.5900,8749540
2023-09-22,45.8900,46.1800,44.6000,44.7100,11866500
2023-09-21,46.5100,46.9300,45.2700,45.6200,19540764
2023-09-20,49.9900,50.0600,47.5200,47.5700,15313470
2023-09-19,49.9400,50.6300,49.3700,49.8000,17981673
2023-09-18,52.8100,52.8100,51.2400,51.2500,11564036
2023-09-15,53.6800,54.0800,52.2600,52.8300,11915074
2023-09-14,54.6100,54.7300,53.5700,53.8500,8089954
2023-09-13,54.0750,54.5800,53.6100,54.1500,5735346
2023-09-12,53.7850,55.7291,53.6500,54.3300,10233084
2023-09-11,53.9550,55.2000,53.2701,53.9400,10420035
2023-09-08,56.0000,56.0000,52.7800,53.0800,20720751
2023-09-07,56.2200,56.5000,55.1400,56.0400,9075765
2023-09-06,57.6800,59.7200,57.4900,57.6400,10491583
2023-09-05,58.1600,59.1950,57.7850,58.7400,5987049
2023-09-01,58.3900,59.0400,57.8500,58.1700,5752348
2023-08-31,57.8000,58.5000,57.1700,57.6500,7392938
2023-08-30,57.3300,58.2100,56.9800,57.7200,6813238
2023-08-29,55.5700,57.9000,55.4600,57.7600,7329804
2023-08-28,56.0100,56.4500,55.2600,55.8700,5333590
2023-08-25,55.4000,56.6300,54.9700,55.8600,7741021
2023-08-24,57.5700,57.5700,55.3100,55.6300,7952746
2023-08-23,56.3000,57.4000,55.9000,57.2200,12207274
2023-08-22,57.8100,58.0002,55.6300,56.0700,10503847
2023-08-21,56.8400,57.5600,55.9900,57.5600,9422938
2023-08-18,55.0300,57.2700,54.7250,56.8800,9841116
2023-08-17,57.0700,57.5200,56.0800,56.1000,10195218
2023-08-16,58.1400,58.9500,57.4400,57.4900,8309160
2023-08-15,60.0900,60.3600,58.1300,58.3600,9501060
2023-08-14,60.0600,60.4900,59.6400,60.1500,7408116
2023-08-11,61.6000,62.3600,60.5300,60.5700,7740658
2023-08-10,63.0600,64.2600,61.8100,62.2400,8642458
2023-08-09,63.6300,64.5467,62.4100,62.7100,12169229
2023-08-08,62.8000,63.5800,62.3200,62.3800,11439272
2023-08-07,64.1600,65.1500,63.2800,64.0100,16331223
2023-08-04,67.6800,70.3983,63.2000,63.5200,33475980
2023-08-03,73.3600,73.8800,71.5100,73.5500,13871067
2023-08-02,77.1350,77.1350,73.8700,74.4900,10439823
2023-08-01,79.8800,79.9000,77.7800,78.7600,6745084
2023-07-31,79.3800,81.4700,79.1600,80.5300,7815048
2023-07-28,78.3150,78.9800,77.3500,78.3600,6228303
2023-07-27,78.8300,79.4400,75.4000,75.7700,5911856
2023-07-26,76.1600,77.8450,75.7600,77.4100,4235244
2023-07-25,77.5800,78.2500,76.7900,76.8700,3362612
2023-07-24,75.8600,77.2600,74.3600,77.1400,5015956
2023-07-21,76.8800,77.6050,75.0800,76.1200,5260141
2023-07-20,77.2250,77.9500,75.6600,76.1700,7231342
2023-07-19,79.1500,80.6000,78.1100,78.1900,8320687
2023-07-18,78.0650,79.2100,77.5700,79.0300,6736793
2023-07-17,75.3050,78.8000,74.3100,78.0600,10001947
2023-07-14,76.3150,77.1100,74.8400,75.4600,9343857
2023-07-13,72.7400,76.6500,72.5300,76.2000,15648336
2023-07-12,72.8300,73.0399,70.5800,71.2200,7823919
2023-07-11,69.7500,72.1200,69.0600,71.1000,10022646
2023-07-10,66.8400,69.6500,66.7200,69.0600,9165934
2023-07-07,64.2000,68.4200,64.1000,67.2700,11732918
2023-07-06,67.3800,67.3800,63.4400,64.6100,16455859
2023-07-05,65.7300,69.4000,65.1400,68.9700,12995781
2023-07-03,66.6700,67.3000,66.0400,66.2000,5669889
2023-06-30,65.1000,66.8976,64.8100,66.5700,8721401
2023-06-29,64.8750,65.7700,63.7400,64.3900,6240855
2023-06-28,63.7000,65.6100,63.3300,64.7700,6638505
2023-06-27,62.3300,64.5600,62.0450,63.9300,5865424
2023-06-26,62.6600,64.1493,61.6500,61.7500,5506313
2023-06-23,62.8000,63.3399,61.8550,62.8600,17221726
2023-06-22,64.8900,65.1500,63.1400,64.1100,7225469
2023-06-21,66.7100,67.2800,64.8100,65.4600,8858980
2023-06-20,65.8900,67.5150,65.3500,66.8000,7460510
2023-06-16,66.5100,67.7896,65.7010,66.5100,12250812
2023-06-15,63.6500,66.8600,63.5600,66.1900,9395452
2023-06-14,64.8400,65.8700,62.8700,63.6900,9173935
2023-06-13,65.3800,66.4000,64.8700,65.5200,10102885
2023-06-12,65.2100,65.6494,63.5800,64.2000,6172690
