date,open,high,low,close,volume
2023-12-13,69.7300,70.5400,66.7300,70.0600,16450177
2023-12-12,69.2100,69.5700,68.3300,69.5700,6414749
2023-12-11,68.9250,70.2600,68.2400,68.5600,8109682
2023-12-08,67.8500,70.6669,67.6000,69.1700,11485275
2023-12-07,67.0293,68.8800,66.8800,68.4700,12668252
2023-12-06,65.7900,69.9500,65.7900,68.0000,20104693
2023-12-05,64.3200,64.9399,63.3800,64.8900,8606243
2023-12-04,65.0000,65.3300,64.1900,65.0000,8865226
2023-12-01,63.5000,65.1700,63.3900,65.0400,11954239
2023-11-30,64.0900,64.2000,62.6800,63.4300,9036601
2023-11-29,63.5800,65.1100,63.5800,63.7300,13983731
2023-11-28,60.5000,64.0000,60.3900,63.3400,15851184
2023-11-27,59.1100,60.7800,59.0000,60.3100,10451642
2023-11-24,58.9700,60.0400,58.6800,59.6500,5162580
2023-11-22,59.1300,59.7300,58.3392,59.0200,7709245
2023-11-21,58.6700,59.3350,58.0600,58.6700,8125080
2023-11-20,57.9200,59.5350,57.4764,59.2700,10473083
2023-11-17,56.4400,58.4000,56.4001,58.1900,12038185
2023-11-16,56.0200,56.4500,55.4900,56.2800,9462602
2023-11-15,55.5200,57.2700,55.4500,56.3000,14683056
2023-11-14,53.9600,55.3300,53.8200,55.1000,15519220
2023-11-13,50.9500,52.2100,50.8600,52.0200,9727524
2023-11-10,50.9900,51.7000,50.8700,51.5000,9520253
2023-11-09,52.7950,53.3500,50.9800,51.0500,16380540
2023-11-08,50.9600,53.0500,50.6300,52.2700,19517528
2023-11-07,49.7050,51.6300,49.7050,51.0500,22098671
2023-11-06,49.1899,49.9211,48.1520,49.5200,22090151
2023-11-03,50.8000,52.1300,48.4000,48.6800,49424179
2023-11-02,43.7100,44.0999,42.7800,43.9800,30573874
2023-11-01,39.9500,41.0950,39.3400,40.9600,11957107
2023-10-31,39.4800,40.3800,38.8850,40.2500,9734511
2023-10-30,40.3700,40.8600,38.8500,39.2200,15531817
2023-10-27,40.3600,40.5200,38.9100,40.0200,19872597
2023-10-26,41.6600,42.8900,41.5448,41.6800,11861548
2023-10-25,43.5600,43.6500,41.3000,41.7200,20833391
2023-10-24,44.7800,46.1500,44.7114,45.3500,11482236
2023-10-23,43.5800,44.5650,42.8100,43.9000,9641632
2023-10-20,44.5150,44.5600,43.7003,43.9800,9985879
2023-10-19,44.3800,45.5700,43.9600,44.1700,10885056
2023-10-18,45.2750,45.8800,44.5500,44.5800,8206403
2023-10-17,44.1800,46.3800,44.0900,45.9000,11581256
2023-10-16,43.8400,44.9500,43.5950,44.7600,9192184
2023-10-13,44.6300,44.8700,43.1400,43.1700,13516788
2023-10-12,47.0500,47.2250,45.1210,45.4500,13842976
2023-10-11,46.3400,47.5350,46.0200,46.6900,15563042
2023-10-10,44.3000,46.5400,44.3000,46.0000,15783367
2023-10-09,43.1200,43.8150,42.8900,43.7100,7787594
2023-10-06,42.1500,44.0500,42.1500,43.8300,13244321
2023-10-05,41.5100,42.8150,40.7700,42.6400,15916712
2023-10-04,42.0000,42.2200,41.2400,41.9000,11047998
2023-10-03,42.5700,43.2900,41.4900,41.9000,11399945
2023-10-02,44.3200,44.7200,42.9800,43.1900,10433167
2023-09-29,45.2100,45.6300,44.2100,44.2600,11965284
2023-09-28,44.0300,44.5600,42.7700,44.3500,16585056
2023-09-27,45.2600,45.3600,43.7500,44.1400,11656103
2023-09-26,44.9400,45.7398,44.5600,44.8100,10168217
2023-09-25,44.6200,45.7400,44.3300,45.5900,8841345
2023-09-22,45.8900,46.1800,44.6000,44.7100,11866500
2023-09-21,46.5100,46.9300,45.2700,45.6200,19540764
2023-09-20,49.9900,50.0600,47.5200,47.5700,15313470
2023-09-19,49.9400,50.6300,49.3700,49.8000,17981673
2023-09-18,52.8100,52.8100,51.2400,51.2500,11564036
2023-09-15,53.6800,54.0800,52.2600,52.8300,11915074
2023-09-14,54.6100,54.7300,53.5700,53.8500,8089954
2023-09-13,54.0750,54.5800,53.6100,54.1500,5735346
2023-09-12,53.7850,55.7291,53.6500,54.3300,10233084
2023-09-11,53.9550,55.2000,53.2701,53.9400,10420035
2023-09-08,56.0000,56.0000,52.7800,53.0800,20720751
2023-09-07,56.2200,56.5000,55.1400,56.0400,9075765
2023-09-06,57.6800,59.7200,57.4900,57.6400,10491583
2023-09-05,58.1600,59.1950,57.7850,58.7400,5987049
2023-09-01,58.3900,59.0400,57.8500,58.1700,5752348
2023-08-31,57.8000,58.5000,57.1700,57.6500,7392938
2023-08-30,57.3300,58.2100,56.9800,57.7200,6813238
2023-08-29,55.5700,57.9000,55.4600,57.7600,7329804
2023-08-28,56.0100,56.4500,55.2600,55.8700,5333590
2023-08-25,55.4000,56.6300,54.9700,55.8600,7741021
2023-08-24,57.5700,57.5700,55.3100,55.6300,7952746
2023-08-23,56.3000,57.4000,55.9000,57.2200,12207274
2023-08-22,57.8100,58.0002,55.6300,56.0700,10503847
2023-08-21,56.8400,57.5600,55.9900,57.5600,9422938
